timestamp,from_account,to_account,amount,country_from,country_to,is_international,is_suspicious
2025-11-01 00:05:00,P071,P038,1247.52,CY,FI,true,false
2025-11-01 00:05:00,P030,P013,582.59,NL,FI,true,false
2025-11-01 00:05:00,P011,B014,739.27,SE,GB,true,false
2025-11-01 00:06:00,P012,P049,163.14,FI,CY,true,false
2025-11-01 00:07:00,P004,B015,427.04,NO,SE,true,false
2025-11-01 00:07:00,P047,P040,374.39,NO,CY,true,false
2025-11-01 00:07:00,P032,P029,114.76,SE,CY,true,false
2025-11-01 00:10:00,P048,P046,330.07,DK,SE,true,false
2025-11-01 00:14:00,P058,P076,431.72,SE,SE,false,false
2025-11-01 00:14:00,P009,P005,1292.26,SE,GB,true,false
2025-11-01 00:15:00,P036,B006,738.41,GB,SE,true,false
2025-11-01 00:16:00,P006,B014,699.95,SE,DE,true,false
2025-11-01 00:16:00,P068,P078,646.24,NO,GB,true,false
2025-11-01 00:24:00,P049,P077,1494.26,GB,DK,true,false
2025-11-01 00:27:00,P013,X902,10777.26,NL,CY,true,true
2025-11-01 00:28:00,P013,X902,14773.83,SE,CY,true,true
2025-11-01 00:29:00,P049,P035,1484.49,GB,NO,true,false
2025-11-01 00:29:00,P001,B013,1316.26,DK,GB,true,false
2025-11-01 00:29:00,P013,X902,10441.94,FI,CY,true,true
2025-11-01 00:30:00,P013,X902,7978.50,NO,CY,true,true
2025-11-01 00:31:00,P012,B017,89.73,SE,SE,false,false
2025-11-01 00:31:00,P013,X902,6242.92,SE,CY,true,true
2025-11-01 00:32:00,P078,P004,850.64,GB,DE,true,false
2025-11-01 00:35:00,P002,B008,1086.67,GB,DK,true,false
2025-11-01 00:35:00,P030,P076,345.92,SE,SE,false,false
2025-11-01 00:36:00,P025,B011,122.94,NO,DK,true,false
2025-11-01 00:37:00,P055,P005,64.10,NO,NO,false,false
2025-11-01 00:38:00,B002,P022,810.53,NO,SE,true,false
2025-11-01 00:38:00,P026,P020,573.39,SE,GB,true,false
2025-11-01 00:40:00,P021,Shop02,1027.11,CY,SE,true,false
2025-11-01 00:42:00,B004,P048,668.39,GB,NL,true,false
2025-11-01 00:43:00,P042,B019,1168.48,NO,SE,true,false
2025-11-01 00:44:00,P055,P044,431.25,NO,FI,true,false
2025-11-01 00:46:00,P074,P061,379.64,NL,DE,true,false
2025-11-01 00:47:00,P014,B007,1116.19,GB,SE,true,false
2025-11-01 00:47:00,P072,P069,408.86,CY,DE,true,false
2025-11-01 00:48:00,P023,P065,1370.69,DK,GB,true,false
2025-11-01 00:48:00,B014,B009,317.70,DK,DE,true,false
2025-11-01 00:49:00,B003,P044,185.10,DE,SE,true,false
2025-11-01 00:49:00,P068,P001,906.44,NL,SE,true,false
2025-11-01 00:49:00,P017,B005,723.42,GB,SE,true,false
2025-11-01 00:51:00,P041,P052,416.26,NO,CY,true,false
